"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: arraySizeInKb"
"net.greypanther.BenchmarkByteArrayCopy.benchmarkArrayManualCopy","thrpt",1,90,2953256.471106,11117.792593,"ops/s",1
"net.greypanther.BenchmarkByteArrayCopy.benchmarkArrayManualCopy","thrpt",1,90,297559.652550,3326.303732,"ops/s",10
"net.greypanther.BenchmarkByteArrayCopy.benchmarkArrayManualCopy","thrpt",1,90,2655.708143,16.343424,"ops/s",1000
"net.greypanther.BenchmarkByteArrayCopy.benchmarkArrayManualCopy","thrpt",1,90,254.897516,1.312550,"ops/s",10000
"net.greypanther.BenchmarkByteArrayCopy.benchmarkArrayManualCopy_Dec","thrpt",1,90,14095874.261530,326587.722059,"ops/s",1
"net.greypanther.BenchmarkByteArrayCopy.benchmarkArrayManualCopy_Dec","thrpt",1,90,2290683.224735,31965.228659,"ops/s",10
"net.greypanther.BenchmarkByteArrayCopy.benchmarkArrayManualCopy_Dec","thrpt",1,90,13400.323150,186.004632,"ops/s",1000
"net.greypanther.BenchmarkByteArrayCopy.benchmarkArrayManualCopy_Dec","thrpt",1,90,594.594390,4.345233,"ops/s",10000
"net.greypanther.BenchmarkByteArrayCopy.benchmarkArrayManualCopy_Overlap_Dec","thrpt",1,90,2929912.786620,17411.030004,"ops/s",1
"net.greypanther.BenchmarkByteArrayCopy.benchmarkArrayManualCopy_Overlap_Dec","thrpt",1,90,296243.551111,421.240521,"ops/s",10
"net.greypanther.BenchmarkByteArrayCopy.benchmarkArrayManualCopy_Overlap_Dec","thrpt",1,90,2962.367980,25.061872,"ops/s",1000
"net.greypanther.BenchmarkByteArrayCopy.benchmarkArrayManualCopy_Overlap_Dec","thrpt",1,90,284.251467,1.251979,"ops/s",10000
"net.greypanther.BenchmarkByteArrayCopy.benchmarkArraySystemArraycopy","thrpt",1,90,49205794.221370,357944.779933,"ops/s",1
"net.greypanther.BenchmarkByteArrayCopy.benchmarkArraySystemArraycopy","thrpt",1,90,4904983.691589,72376.089211,"ops/s",10
"net.greypanther.BenchmarkByteArrayCopy.benchmarkArraySystemArraycopy","thrpt",1,90,14808.318547,13.092894,"ops/s",1000
"net.greypanther.BenchmarkByteArrayCopy.benchmarkArraySystemArraycopy","thrpt",1,90,623.482425,7.857081,"ops/s",10000
"net.greypanther.BenchmarkByteArrayCopy.benchmarkArraySystemArraycopy_Overlap","thrpt",1,90,34890897.006137,392012.094548,"ops/s",1
"net.greypanther.BenchmarkByteArrayCopy.benchmarkArraySystemArraycopy_Overlap","thrpt",1,90,4815035.170085,61917.770786,"ops/s",10
"net.greypanther.BenchmarkByteArrayCopy.benchmarkArraySystemArraycopy_Overlap","thrpt",1,90,5153.411227,28.970277,"ops/s",1000
"net.greypanther.BenchmarkByteArrayCopy.benchmarkArraySystemArraycopy_Overlap","thrpt",1,90,504.722612,0.543061,"ops/s",10000
"net.greypanther.BenchmarkByteArrayCopy.benchmarkArrayUnsafeCopy","thrpt",1,90,49013045.068016,537944.165065,"ops/s",1
"net.greypanther.BenchmarkByteArrayCopy.benchmarkArrayUnsafeCopy","thrpt",1,90,5066044.861410,40913.689677,"ops/s",10
"net.greypanther.BenchmarkByteArrayCopy.benchmarkArrayUnsafeCopy","thrpt",1,90,14812.779132,19.088496,"ops/s",1000
"net.greypanther.BenchmarkByteArrayCopy.benchmarkArrayUnsafeCopy","thrpt",1,90,631.725228,5.153813,"ops/s",10000
"net.greypanther.BenchmarkIntArrayCopy.benchmarkArrayManualCopy","thrpt",1,90,12230803.025430,218749.278556,"ops/s",1
"net.greypanther.BenchmarkIntArrayCopy.benchmarkArrayManualCopy","thrpt",1,90,1221323.287983,30322.913620,"ops/s",10
"net.greypanther.BenchmarkIntArrayCopy.benchmarkArrayManualCopy","thrpt",1,90,9050.324977,137.640690,"ops/s",1000
"net.greypanther.BenchmarkIntArrayCopy.benchmarkArrayManualCopy","thrpt",1,90,575.376941,0.797062,"ops/s",10000
"net.greypanther.BenchmarkIntArrayCopy.benchmarkArrayManualCopy_Dec","thrpt",1,90,48038147.246486,1369454.118806,"ops/s",1
"net.greypanther.BenchmarkIntArrayCopy.benchmarkArrayManualCopy_Dec","thrpt",1,90,6006080.388944,158545.087851,"ops/s",10
"net.greypanther.BenchmarkIntArrayCopy.benchmarkArrayManualCopy_Dec","thrpt",1,90,15268.553889,58.927426,"ops/s",1000
"net.greypanther.BenchmarkIntArrayCopy.benchmarkArrayManualCopy_Dec","thrpt",1,90,629.576349,2.262623,"ops/s",10000
"net.greypanther.BenchmarkIntArrayCopy.benchmarkArrayManualCopy_Overlap_Dec","thrpt",1,90,12179587.412654,223919.061546,"ops/s",1
"net.greypanther.BenchmarkIntArrayCopy.benchmarkArrayManualCopy_Overlap_Dec","thrpt",1,90,1225368.507044,31846.747489,"ops/s",10
"net.greypanther.BenchmarkIntArrayCopy.benchmarkArrayManualCopy_Overlap_Dec","thrpt",1,90,10499.357370,131.008723,"ops/s",1000
"net.greypanther.BenchmarkIntArrayCopy.benchmarkArrayManualCopy_Overlap_Dec","thrpt",1,90,832.750540,2.701075,"ops/s",10000
"net.greypanther.BenchmarkIntArrayCopy.benchmarkArraySystemArraycopy","thrpt",1,90,38689946.095976,252415.199646,"ops/s",1
"net.greypanther.BenchmarkIntArrayCopy.benchmarkArraySystemArraycopy","thrpt",1,90,5053887.754985,39963.837165,"ops/s",10
"net.greypanther.BenchmarkIntArrayCopy.benchmarkArraySystemArraycopy","thrpt",1,90,14805.156852,27.730906,"ops/s",1000
"net.greypanther.BenchmarkIntArrayCopy.benchmarkArraySystemArraycopy","thrpt",1,90,625.001187,4.959449,"ops/s",10000
"net.greypanther.BenchmarkIntArrayCopy.benchmarkArraySystemArraycopy_Overlap","thrpt",1,90,38778111.422382,446465.348942,"ops/s",1
"net.greypanther.BenchmarkIntArrayCopy.benchmarkArraySystemArraycopy_Overlap","thrpt",1,90,5022465.501801,41514.910062,"ops/s",10
"net.greypanther.BenchmarkIntArrayCopy.benchmarkArraySystemArraycopy_Overlap","thrpt",1,90,5097.656930,56.228796,"ops/s",1000
"net.greypanther.BenchmarkIntArrayCopy.benchmarkArraySystemArraycopy_Overlap","thrpt",1,90,504.266003,1.179319,"ops/s",10000
"net.greypanther.BenchmarkIntArrayCopy.benchmarkArrayUnsafeCopy","thrpt",1,90,57976836.331746,1440196.369452,"ops/s",1
"net.greypanther.BenchmarkIntArrayCopy.benchmarkArrayUnsafeCopy","thrpt",1,90,7283027.872023,83002.120709,"ops/s",10
"net.greypanther.BenchmarkIntArrayCopy.benchmarkArrayUnsafeCopy","thrpt",1,90,14820.698007,13.218245,"ops/s",1000
"net.greypanther.BenchmarkIntArrayCopy.benchmarkArrayUnsafeCopy","thrpt",1,90,600.192028,0.729081,"ops/s",10000
"net.greypanther.BenchmarkLongArrayCopy.benchmarkArrayManualCopy","thrpt",1,90,22323054.476268,978483.689275,"ops/s",1
"net.greypanther.BenchmarkLongArrayCopy.benchmarkArrayManualCopy","thrpt",1,90,2416429.213419,75919.643341,"ops/s",10
"net.greypanther.BenchmarkLongArrayCopy.benchmarkArrayManualCopy","thrpt",1,90,13719.193411,93.726865,"ops/s",1000
"net.greypanther.BenchmarkLongArrayCopy.benchmarkArrayManualCopy","thrpt",1,90,582.396186,2.827437,"ops/s",10000
"net.greypanther.BenchmarkLongArrayCopy.benchmarkArrayManualCopy_Dec","thrpt",1,90,61876035.777832,1636503.664505,"ops/s",1
"net.greypanther.BenchmarkLongArrayCopy.benchmarkArrayManualCopy_Dec","thrpt",1,90,6370564.145986,188680.955340,"ops/s",10
"net.greypanther.BenchmarkLongArrayCopy.benchmarkArrayManualCopy_Dec","thrpt",1,90,15272.361090,42.158912,"ops/s",1000
"net.greypanther.BenchmarkLongArrayCopy.benchmarkArrayManualCopy_Dec","thrpt",1,90,618.697827,3.931117,"ops/s",10000
"net.greypanther.BenchmarkLongArrayCopy.benchmarkArrayManualCopy_Overlap_Dec","thrpt",1,90,23502741.614133,568379.996937,"ops/s",1
"net.greypanther.BenchmarkLongArrayCopy.benchmarkArrayManualCopy_Overlap_Dec","thrpt",1,90,2397662.182480,44662.684581,"ops/s",10
"net.greypanther.BenchmarkLongArrayCopy.benchmarkArrayManualCopy_Overlap_Dec","thrpt",1,90,16866.468654,265.204860,"ops/s",1000
"net.greypanther.BenchmarkLongArrayCopy.benchmarkArrayManualCopy_Overlap_Dec","thrpt",1,90,1034.681798,3.140492,"ops/s",10000
"net.greypanther.BenchmarkLongArrayCopy.benchmarkArraySystemArraycopy","thrpt",1,90,44107951.991272,366582.553559,"ops/s",1
"net.greypanther.BenchmarkLongArrayCopy.benchmarkArraySystemArraycopy","thrpt",1,90,5036631.792989,45000.783708,"ops/s",10
"net.greypanther.BenchmarkLongArrayCopy.benchmarkArraySystemArraycopy","thrpt",1,90,14821.655183,14.797843,"ops/s",1000
"net.greypanther.BenchmarkLongArrayCopy.benchmarkArraySystemArraycopy","thrpt",1,90,620.345032,3.309074,"ops/s",10000
"net.greypanther.BenchmarkLongArrayCopy.benchmarkArraySystemArraycopy_Overlap","thrpt",1,90,47535172.829301,3669020.207719,"ops/s",1
"net.greypanther.BenchmarkLongArrayCopy.benchmarkArraySystemArraycopy_Overlap","thrpt",1,90,7183187.660015,149333.378632,"ops/s",10
"net.greypanther.BenchmarkLongArrayCopy.benchmarkArraySystemArraycopy_Overlap","thrpt",1,90,5126.797096,46.384194,"ops/s",1000
"net.greypanther.BenchmarkLongArrayCopy.benchmarkArraySystemArraycopy_Overlap","thrpt",1,90,502.117352,1.246814,"ops/s",10000
"net.greypanther.BenchmarkLongArrayCopy.benchmarkArrayUnsafeCopy","thrpt",1,90,42503493.609988,362567.288241,"ops/s",1
